Sequence ID,Start,End,Motif
>XP_062451666.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Rhea pennata],348,351,AMIDATION
>XP_062451666.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Rhea pennata],,,None found
>XP_062451665.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Rhea pennata],348,351,AMIDATION
>XP_062451665.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Rhea pennata],,,None found
>XP_062354434.1 glucose-6-phosphatase 2 [Cinclus cinclus],,,None found
>XP_062364082.1 glucose-6-phosphatase 3 [Cinclus cinclus],,,None found
>XP_062363994.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Cinclus cinclus],,,None found
>XP_062363993.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Cinclus cinclus],,,None found
>KAK4817246.1 hypothetical protein QYF61_005459 [Mycteria americana],,,None found
>KAK4808656.1 hypothetical protein QYF61_020145 [Mycteria americana],,,None found
>KAK4808622.1 hypothetical protein QYF61_012692 [Mycteria americana],,,None found
>XP_061874442.1 glucose-6-phosphatase 3 [Colius striatus],,,None found
>XP_061874441.1 glucose-6-phosphatase 3 [Colius striatus],,,None found
>XP_010199970.1 glucose-6-phosphatase 2 [Colius striatus],214,230,TNF_1
>XP_010199970.1 glucose-6-phosphatase 2 [Colius striatus],,,None found
>XP_010207956.1 glucose-6-phosphatase catalytic subunit 1 [Colius striatus],139,142,AMIDATION
>XP_010207956.1 glucose-6-phosphatase catalytic subunit 1 [Colius striatus],,,None found
>XP_061299481.1 glucose-6-phosphatase 3 [Pezoporus flaviventris],,,None found
>XP_061333646.1 glucose-6-phosphatase catalytic subunit 1 [Pezoporus flaviventris],139,142,AMIDATION
>XP_061333646.1 glucose-6-phosphatase catalytic subunit 1 [Pezoporus flaviventris],,,None found
>XP_061308752.1 glucose-6-phosphatase 2 isoform X5 [Pezoporus flaviventris],,,None found
>XP_061308745.1 glucose-6-phosphatase 2 isoform X4 [Pezoporus flaviventris],,,None found
>XP_061308738.1 glucose-6-phosphatase 2 isoform X3 [Pezoporus flaviventris],,,None found
>XP_061308728.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus flaviventris],,,None found
>XP_061308717.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus flaviventris],,,None found
>XP_061308707.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus flaviventris],,,None found
>XP_061308700.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus flaviventris],,,None found
>XP_061308693.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus flaviventris],,,None found
>XP_061308676.1 glucose-6-phosphatase 2 isoform X1 [Pezoporus flaviventris],,,None found
>XP_061222987.1 glucose-6-phosphatase catalytic subunit 1 [Neopsephotus bourkii],139,142,AMIDATION
>XP_061222987.1 glucose-6-phosphatase catalytic subunit 1 [Neopsephotus bourkii],,,None found
>XP_061199243.1 glucose-6-phosphatase 2 isoform X4 [Neopsephotus bourkii],,,None found
>XP_061199236.1 glucose-6-phosphatase 2 isoform X3 [Neopsephotus bourkii],,,None found
>XP_061199228.1 glucose-6-phosphatase 2 isoform X2 [Neopsephotus bourkii],,,None found
>XP_061199219.1 glucose-6-phosphatase 2 isoform X2 [Neopsephotus bourkii],,,None found
>XP_061199212.1 glucose-6-phosphatase 2 isoform X2 [Neopsephotus bourkii],,,None found
>XP_061199205.1 glucose-6-phosphatase 2 isoform X1 [Neopsephotus bourkii],,,None found
>XP_059709026.1 glucose-6-phosphatase 2 isoform X2 [Haemorhous mexicanus],,,None found
>XP_059709025.1 glucose-6-phosphatase 2 isoform X1 [Haemorhous mexicanus],,,None found
>XP_059725180.1 glucose-6-phosphatase 3 [Haemorhous mexicanus],,,None found
>XP_059725010.1 glucose-6-phosphatase catalytic subunit 1 [Haemorhous mexicanus],,,None found
>XP_059676578.1 glucose-6-phosphatase 2 [Gavia stellata],,,None found
>XP_059686527.1 glucose-6-phosphatase 3 [Gavia stellata],,,None found
>XP_009812197.2 glucose-6-phosphatase catalytic subunit 1 [Gavia stellata],139,142,AMIDATION
>XP_009812197.2 glucose-6-phosphatase catalytic subunit 1 [Gavia stellata],,,None found
>XP_059331694.1 glucose-6-phosphatase 2 [Ammospiza nelsoni],,,None found
>XP_059345237.1 glucose-6-phosphatase catalytic subunit 1 [Ammospiza nelsoni],,,None found
>XP_059345078.1 glucose-6-phosphatase 3 [Ammospiza nelsoni],,,None found
>XP_058696009.1 glucose-6-phosphatase 2 isoform X2 [Poecile atricapillus],,,None found
>XP_058696008.1 glucose-6-phosphatase 2 isoform X1 [Poecile atricapillus],,,None found
>XP_058713892.1 glucose-6-phosphatase catalytic subunit 1 [Poecile atricapillus],,,None found
>XP_058713762.1 glucose-6-phosphatase 3 [Poecile atricapillus],,,None found
>XP_058665076.1 glucose-6-phosphatase 2 [Ammospiza caudacuta],,,None found
>XP_058676821.1 glucose-6-phosphatase 3 [Ammospiza caudacuta],,,None found
>XP_058676570.1 glucose-6-phosphatase catalytic subunit 1 [Ammospiza caudacuta],,,None found
>XP_039925619.1 glucose-6-phosphatase 2 isoform X3 [Hirundo rustica],,,None found
>XP_039925618.1 glucose-6-phosphatase 2 isoform X2 [Hirundo rustica],,,None found
>XP_039925617.1 glucose-6-phosphatase 2 isoform X2 [Hirundo rustica],,,None found
>XP_039925616.1 glucose-6-phosphatase 2 isoform X2 [Hirundo rustica],,,None found
>XP_039925615.1 glucose-6-phosphatase 2 isoform X1 [Hirundo rustica],,,None found
>XP_039943279.1 glucose-6-phosphatase catalytic subunit 1 [Hirundo rustica],,,None found
>XP_039910055.1 glucose-6-phosphatase 3 isoform X2 [Hirundo rustica],,,None found
>XP_039910054.1 glucose-6-phosphatase 3 isoform X1 [Hirundo rustica],,,None found
>XP_057884218.1 glucose-6-phosphatase 2 [Melospiza georgiana],,,None found
>XP_057897914.1 glucose-6-phosphatase catalytic subunit 1 [Melospiza georgiana],,,None found
>XP_057897697.1 glucose-6-phosphatase 3 [Melospiza georgiana],,,None found
>XP_057279828.1 glucose-6-phosphatase 2 isoform X5 [Pezoporus wallicus],,,None found
>XP_057279827.1 glucose-6-phosphatase 2 isoform X4 [Pezoporus wallicus],,,None found
>XP_057279826.1 glucose-6-phosphatase 2 isoform X3 [Pezoporus wallicus],,,None found
>XP_057279825.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus wallicus],,,None found
>XP_057279824.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus wallicus],,,None found
>XP_057279823.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus wallicus],,,None found
>XP_057279822.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus wallicus],,,None found
>XP_057279821.1 glucose-6-phosphatase 2 isoform X1 [Pezoporus wallicus],,,None found
>XP_057270160.1 glucose-6-phosphatase catalytic subunit 1 [Pezoporus wallicus],139,142,AMIDATION
>XP_057270160.1 glucose-6-phosphatase catalytic subunit 1 [Pezoporus wallicus],,,None found
>XP_057256088.1 LOW QUALITY PROTEIN: glucose-6-phosphatase 3 [Pezoporus wallicus],,,None found
">XP_057245515.1 glucose-6-phosphatase catalytic subunit 1-like, partial [Malurus melanocephalus]",,,None found
">XP_057235532.1 glucose-6-phosphatase catalytic subunit 1, partial [Malurus melanocephalus]",32,35,AMIDATION
">XP_057235532.1 glucose-6-phosphatase catalytic subunit 1, partial [Malurus melanocephalus]",,,None found
>XP_057227699.1 glucose-6-phosphatase 2 isoform X2 [Malurus melanocephalus],,,None found
>XP_057227698.1 glucose-6-phosphatase 2 isoform X1 [Malurus melanocephalus],,,None found
>XP_056351817.1 glucose-6-phosphatase 2 isoform X3 [Oenanthe melanoleuca],,,None found
>XP_056351816.1 glucose-6-phosphatase 2 isoform X2 [Oenanthe melanoleuca],,,None found
>XP_056351815.1 glucose-6-phosphatase 2 isoform X1 [Oenanthe melanoleuca],,,None found
>XP_056368066.1 glucose-6-phosphatase 3 [Oenanthe melanoleuca],,,None found
>XP_056368065.1 glucose-6-phosphatase 3 [Oenanthe melanoleuca],,,None found
>XP_056368047.1 glucose-6-phosphatase catalytic subunit 1 [Oenanthe melanoleuca],,,None found
>XP_056205566.1 glucose-6-phosphatase 2 isoform X3 [Falco biarmicus],,,None found
>XP_056205565.1 glucose-6-phosphatase 2 isoform X2 [Falco biarmicus],4,7,AMIDATION
>XP_056205565.1 glucose-6-phosphatase 2 isoform X2 [Falco biarmicus],,,None found
>XP_056205564.1 glucose-6-phosphatase 2 isoform X1 [Falco biarmicus],,,None found
>XP_056218587.1 glucose-6-phosphatase catalytic subunit 1 [Falco biarmicus],139,142,AMIDATION
>XP_056218587.1 glucose-6-phosphatase catalytic subunit 1 [Falco biarmicus],,,None found
>XP_056218500.1 LOW QUALITY PROTEIN: glucose-6-phosphatase 3 [Falco biarmicus],,,None found
>XP_055668705.1 glucose-6-phosphatase 2 isoform X2 [Falco peregrinus],4,7,AMIDATION
>XP_055668705.1 glucose-6-phosphatase 2 isoform X2 [Falco peregrinus],,,None found
>XP_055645922.1 glucose-6-phosphatase 3 isoform X2 [Falco peregrinus],,,None found
>XP_005238894.3 glucose-6-phosphatase catalytic subunit 1 [Falco peregrinus],139,142,AMIDATION
>XP_005238894.3 glucose-6-phosphatase catalytic subunit 1 [Falco peregrinus],,,None found
>XP_055574812.1 glucose-6-phosphatase 2 isoform X2 [Falco cherrug],4,7,AMIDATION
>XP_055574812.1 glucose-6-phosphatase 2 isoform X2 [Falco cherrug],,,None found
>XP_027661598.2 glucose-6-phosphatase 3 isoform X2 [Falco cherrug],,,None found
>XP_014138509.2 glucose-6-phosphatase 2 isoform X3 [Falco cherrug],,,None found
>XP_005443048.2 glucose-6-phosphatase 2 isoform X1 [Falco cherrug],,,None found
>XP_027661599.1 glucose-6-phosphatase 3 isoform X1 [Falco cherrug],,,None found
>XP_013154349.2 glucose-6-phosphatase 2 isoform X3 [Falco peregrinus],,,None found
>XP_005237187.2 glucose-6-phosphatase 2 isoform X1 [Falco peregrinus],,,None found
>XP_027640178.1 glucose-6-phosphatase 3 isoform X1 [Falco peregrinus],,,None found
>XP_005439497.2 glucose-6-phosphatase catalytic subunit 1 [Falco cherrug],139,142,AMIDATION
>XP_005439497.2 glucose-6-phosphatase catalytic subunit 1 [Falco cherrug],,,None found
>XP_005439522.1 glucose-6-phosphatase 3 isoform X3 [Falco cherrug],,,None found
>XP_005235928.1 glucose-6-phosphatase 3 isoform X3 [Falco peregrinus],,,None found
>XP_054686818.1 glucose-6-phosphatase 2 isoform X6 [Grus americana],,,None found
>XP_054686817.1 glucose-6-phosphatase 2 isoform X5 [Grus americana],285,287,MICROBODIES_CTER
>XP_054686817.1 glucose-6-phosphatase 2 isoform X5 [Grus americana],,,None found
>XP_054686816.1 glucose-6-phosphatase 2 isoform X4 [Grus americana],,,None found
>XP_054686815.1 glucose-6-phosphatase 2 isoform X3 [Grus americana],,,None found
>XP_054686814.1 glucose-6-phosphatase 2 isoform X2 [Grus americana],,,None found
>XP_054686813.1 glucose-6-phosphatase 2 isoform X1 [Grus americana],,,None found
>XP_054657452.1 glucose-6-phosphatase 3 isoform X3 [Grus americana],,,None found
>XP_054657451.1 glucose-6-phosphatase 3 isoform X2 [Grus americana],22,25,AMIDATION
>XP_054657451.1 glucose-6-phosphatase 3 isoform X2 [Grus americana],,,None found
>XP_054657450.1 glucose-6-phosphatase 3 isoform X1 [Grus americana],,,None found
>XP_054657408.1 glucose-6-phosphatase catalytic subunit 1 [Grus americana],139,142,AMIDATION
>XP_054657408.1 glucose-6-phosphatase catalytic subunit 1 [Grus americana],,,None found
>XP_054492637.1 glucose-6-phosphatase 2 [Agelaius phoeniceus],,,None found
>XP_054505601.1 glucose-6-phosphatase catalytic subunit 1 [Agelaius phoeniceus],,,None found
>XP_054505593.1 glucose-6-phosphatase 3 [Agelaius phoeniceus],,,None found
>XP_036242915.1 glucose-6-phosphatase 2 [Molothrus ater],,,None found
>XP_036255053.1 glucose-6-phosphatase 3 isoform X2 [Molothrus ater],,,None found
>XP_036255052.1 glucose-6-phosphatase 3 isoform X1 [Molothrus ater],294,297,AMIDATION
>XP_036255052.1 glucose-6-phosphatase 3 isoform X1 [Molothrus ater],,,None found
>XP_036254952.1 glucose-6-phosphatase catalytic subunit 1 [Molothrus ater],,,None found
>XP_054237114.1 glucose-6-phosphatase 2 [Indicator indicator],,,None found
>XP_054252807.1 glucose-6-phosphatase catalytic subunit 1 [Indicator indicator],139,142,AMIDATION
>XP_054252807.1 glucose-6-phosphatase catalytic subunit 1 [Indicator indicator],,,None found
>KAJ7422098.1 Glucose-6-phosphatase 3 [Pitangus sulphuratus],,,None found
>KAJ7421106.1 Glucose-6-phosphatase [Willisornis vidua],139,142,AMIDATION
>KAJ7421106.1 Glucose-6-phosphatase [Willisornis vidua],,,None found
>KAJ7409565.1 Glucose-6-phosphatase 3 [Willisornis vidua],,,None found
>KAJ7405571.1 Glucose-6-phosphatase 2 [Pitangus sulphuratus],,,None found
>KAJ7396366.1 Glucose-6-phosphatase [Pitangus sulphuratus],139,142,AMIDATION
>KAJ7396366.1 Glucose-6-phosphatase [Pitangus sulphuratus],,,None found
>XP_054137714.1 glucose-6-phosphatase 3 [Melozone crissalis],,,None found
>XP_054137553.1 glucose-6-phosphatase catalytic subunit 1 [Melozone crissalis],,,None found
>XP_054134319.1 glucose-6-phosphatase 2 [Melozone crissalis],,,None found
>XP_054064458.1 glucose-6-phosphatase 2 [Rissa tridactyla],,,None found
>XP_054080366.1 glucose-6-phosphatase 3 [Rissa tridactyla],,,None found
>XP_054080324.1 glucose-6-phosphatase catalytic subunit 1 [Rissa tridactyla],139,142,AMIDATION
>XP_054080324.1 glucose-6-phosphatase catalytic subunit 1 [Rissa tridactyla],,,None found
>XP_054032867.1 glucose-6-phosphatase 3 [Dryobates pubescens],49,52,AMIDATION
>XP_054032867.1 glucose-6-phosphatase 3 [Dryobates pubescens],,,None found
>XP_054032663.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Dryobates pubescens],93,96,AMIDATION
>XP_054032663.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Dryobates pubescens],,,None found
>XP_009899158.2 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Dryobates pubescens],139,142,AMIDATION
>XP_009899158.2 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Dryobates pubescens],,,None found
>XP_009903782.1 glucose-6-phosphatase 2 [Dryobates pubescens],214,230,TNF_1
>XP_009903782.1 glucose-6-phosphatase 2 [Dryobates pubescens],,,None found
>XP_053926452.1 glucose-6-phosphatase 2 isoform X2 [Cuculus canorus],,,None found
>XP_009553856.2 glucose-6-phosphatase 2 isoform X1 [Cuculus canorus],,,None found
>XP_053944311.1 glucose-6-phosphatase 3 isoform X1 [Cuculus canorus],,,None found
>XP_009553670.2 glucose-6-phosphatase catalytic subunit 1 [Cuculus canorus],139,142,AMIDATION
>XP_009553670.2 glucose-6-phosphatase catalytic subunit 1 [Cuculus canorus],,,None found
>XP_009569455.1 glucose-6-phosphatase 3 isoform X2 [Cuculus canorus],,,None found
>XP_053838196.1 glucose-6-phosphatase 2 isoform X3 [Vidua macroura],,,None found
>XP_053838194.1 glucose-6-phosphatase 2 isoform X2 [Vidua macroura],,,None found
>XP_053838193.1 glucose-6-phosphatase 2 isoform X2 [Vidua macroura],,,None found
>XP_053838192.1 glucose-6-phosphatase 2 isoform X1 [Vidua macroura],,,None found
>XP_053803150.1 glucose-6-phosphatase 2 isoform X3 [Vidua chalybeata],,,None found
>XP_053803148.1 glucose-6-phosphatase 2 isoform X2 [Vidua chalybeata],,,None found
>XP_053803147.1 glucose-6-phosphatase 2 isoform X2 [Vidua chalybeata],,,None found
>XP_053803146.1 glucose-6-phosphatase 2 isoform X1 [Vidua chalybeata],,,None found
>XP_053856303.1 glucose-6-phosphatase catalytic subunit 1 [Vidua macroura],,,None found
>XP_053856049.1 glucose-6-phosphatase 3 isoform X2 [Vidua macroura],,,None found
>XP_053856048.1 glucose-6-phosphatase 3 isoform X2 [Vidua macroura],,,None found
>XP_053856047.1 glucose-6-phosphatase 3 isoform X1 [Vidua macroura],,,None found
>XP_053821367.1 glucose-6-phosphatase catalytic subunit 1 [Vidua chalybeata],,,None found
>XP_053821130.1 glucose-6-phosphatase 3 isoform X3 [Vidua chalybeata],,,None found
>XP_053821129.1 glucose-6-phosphatase 3 isoform X2 [Vidua chalybeata],,,None found
>XP_053821127.1 glucose-6-phosphatase 3 isoform X1 [Vidua chalybeata],,,None found
>XP_050841710.1 glucose-6-phosphatase 3 [Serinus canaria],,,None found
>XP_009094733.2 glucose-6-phosphatase catalytic subunit 1 [Serinus canaria],,,None found
>XP_035424301.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Cygnus atratus],139,142,AMIDATION
>XP_035424301.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Cygnus atratus],,,None found
>XP_035424300.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Cygnus atratus],139,142,AMIDATION
>XP_035424300.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Cygnus atratus],,,None found
>XP_035428557.1 glucose-6-phosphatase 2 isoform X3 [Cygnus atratus],,,None found
>XP_035428556.1 glucose-6-phosphatase 2 isoform X3 [Cygnus atratus],,,None found
>XP_035428555.1 glucose-6-phosphatase 2 isoform X2 [Cygnus atratus],,,None found
>XP_035428554.1 glucose-6-phosphatase 2 isoform X1 [Cygnus atratus],,,None found
>XP_009086211.1 glucose-6-phosphatase 2 [Serinus canaria],,,None found
>XP_050755822.1 glucose-6-phosphatase 2 isoform X2 [Gymnogyps californianus],,,None found
>XP_050755821.1 glucose-6-phosphatase 2 isoform X1 [Gymnogyps californianus],,,None found
>XP_050767800.1 glucose-6-phosphatase catalytic subunit 1 [Gymnogyps californianus],139,142,AMIDATION
>XP_050767800.1 glucose-6-phosphatase catalytic subunit 1 [Gymnogyps californianus],,,None found
>XP_050767785.1 glucose-6-phosphatase 3 [Gymnogyps californianus],,,None found
>XP_050767784.1 glucose-6-phosphatase 3 [Gymnogyps californianus],,,None found
>XP_049655634.1 glucose-6-phosphatase catalytic subunit 1 [Astur gentilis],139,142,AMIDATION
>XP_049655634.1 glucose-6-phosphatase catalytic subunit 1 [Astur gentilis],,,None found
>XP_049655633.1 glucose-6-phosphatase catalytic subunit 1 [Astur gentilis],139,142,AMIDATION
>XP_049655633.1 glucose-6-phosphatase catalytic subunit 1 [Astur gentilis],,,None found
>XP_049655632.1 glucose-6-phosphatase catalytic subunit 1 [Astur gentilis],139,142,AMIDATION
>XP_049655632.1 glucose-6-phosphatase catalytic subunit 1 [Astur gentilis],,,None found
>XP_049656473.1 glucose-6-phosphatase 2 [Astur gentilis],,,None found
>XP_049653093.1 glucose-6-phosphatase 3 [Astur gentilis],,,None found
>XP_052649403.1 glucose-6-phosphatase 2 isoform X2 [Harpia harpyja],,,None found
>XP_052649402.1 glucose-6-phosphatase 2 isoform X1 [Harpia harpyja],,,None found
>XP_052641529.1 glucose-6-phosphatase catalytic subunit 1 [Harpia harpyja],139,142,AMIDATION
>XP_052641529.1 glucose-6-phosphatase catalytic subunit 1 [Harpia harpyja],,,None found
>XP_052641528.1 glucose-6-phosphatase catalytic subunit 1 [Harpia harpyja],139,142,AMIDATION
>XP_052641528.1 glucose-6-phosphatase catalytic subunit 1 [Harpia harpyja],,,None found
>XP_052641527.1 glucose-6-phosphatase catalytic subunit 1 [Harpia harpyja],139,142,AMIDATION
>XP_052641527.1 glucose-6-phosphatase catalytic subunit 1 [Harpia harpyja],,,None found
>XP_052641198.1 glucose-6-phosphatase 3 [Harpia harpyja],,,None found
>XP_052526743.1 glucose-6-phosphatase 3 [Tympanuchus pallidicinctus],,,None found
>XP_052556169.1 glucose-6-phosphatase catalytic subunit 1 [Tympanuchus pallidicinctus],139,142,AMIDATION
>XP_052556169.1 glucose-6-phosphatase catalytic subunit 1 [Tympanuchus pallidicinctus],,,None found
>XP_052530977.1 glucose-6-phosphatase 2 [Tympanuchus pallidicinctus],,,None found
>XP_051659608.1 glucose-6-phosphatase 3 isoform X2 [Manacus candei],,,None found
>XP_051659607.1 glucose-6-phosphatase 3 isoform X1 [Manacus candei],,,None found
>XP_051650719.1 glucose-6-phosphatase catalytic subunit 1 [Manacus candei],139,142,AMIDATION
>XP_051650719.1 glucose-6-phosphatase catalytic subunit 1 [Manacus candei],,,None found
>XP_051643454.1 glucose-6-phosphatase 2 isoform X6 [Manacus candei],,,None found
>XP_051643453.1 glucose-6-phosphatase 2 isoform X5 [Manacus candei],,,None found
>XP_051643452.1 glucose-6-phosphatase 2 isoform X5 [Manacus candei],,,None found
>XP_051643450.1 glucose-6-phosphatase 2 isoform X4 [Manacus candei],,,None found
>XP_051643449.1 glucose-6-phosphatase 2 isoform X4 [Manacus candei],,,None found
>XP_051643448.1 glucose-6-phosphatase 2 isoform X3 [Manacus candei],,,None found
>XP_051643447.1 glucose-6-phosphatase 2 isoform X2 [Manacus candei],,,None found
>XP_051643446.1 glucose-6-phosphatase 2 isoform X2 [Manacus candei],,,None found
>XP_051643445.1 glucose-6-phosphatase 2 isoform X1 [Manacus candei],,,None found
>XP_051643444.1 glucose-6-phosphatase 2 isoform X1 [Manacus candei],,,None found
>XP_051643443.1 glucose-6-phosphatase 2 isoform X1 [Manacus candei],,,None found
>XP_051643442.1 glucose-6-phosphatase 2 isoform X1 [Manacus candei],,,None found
>XP_051643441.1 glucose-6-phosphatase 2 isoform X1 [Manacus candei],,,None found
>XP_051479981.1 glucose-6-phosphatase 2 isoform X8 [Apus apus],,,None found
>XP_051479980.1 glucose-6-phosphatase 2 isoform X7 [Apus apus],,,None found
>XP_051479979.1 glucose-6-phosphatase 2 isoform X6 [Apus apus],,,None found
>XP_051479978.1 glucose-6-phosphatase 2 isoform X5 [Apus apus],,,None found
>XP_051479977.1 glucose-6-phosphatase 2 isoform X5 [Apus apus],,,None found
>XP_051479976.1 glucose-6-phosphatase 2 isoform X4 [Apus apus],,,None found
>XP_051479975.1 glucose-6-phosphatase 2 isoform X3 [Apus apus],,,None found
>XP_051479974.1 glucose-6-phosphatase 2 isoform X2 [Apus apus],,,None found
>XP_051479973.1 glucose-6-phosphatase 2 isoform X1 [Apus apus],,,None found
>XP_051496552.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Apus apus],124,127,AMIDATION
>XP_051496552.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Apus apus],,,None found
>XP_051496551.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Apus apus],139,142,AMIDATION
>XP_051496551.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Apus apus],,,None found
>XP_050195556.1 glucose-6-phosphatase 2 isoform X4 [Myiozetetes cayanensis],,,None found
>XP_050195555.1 glucose-6-phosphatase 2 isoform X3 [Myiozetetes cayanensis],,,None found
>XP_050195554.1 glucose-6-phosphatase 2 isoform X3 [Myiozetetes cayanensis],,,None found
>XP_050195553.1 glucose-6-phosphatase 2 isoform X3 [Myiozetetes cayanensis],,,None found
>XP_050195552.1 glucose-6-phosphatase 2 isoform X3 [Myiozetetes cayanensis],,,None found
>XP_050195551.1 glucose-6-phosphatase 2 isoform X2 [Myiozetetes cayanensis],,,None found
>XP_050195550.1 glucose-6-phosphatase 2 isoform X1 [Myiozetetes cayanensis],,,None found
>XP_050183920.1 glucose-6-phosphatase 3 isoform X2 [Myiozetetes cayanensis],,,None found
>XP_050183919.1 glucose-6-phosphatase 3 isoform X1 [Myiozetetes cayanensis],,,None found
>XP_050183690.1 glucose-6-phosphatase catalytic subunit 1 [Myiozetetes cayanensis],139,142,AMIDATION
>XP_050183690.1 glucose-6-phosphatase catalytic subunit 1 [Myiozetetes cayanensis],,,None found
>LAH61910.1 glucose-6-phosphatase 3 [Antigone vipio],,,None found
>LAH71893.1 glucose-6-phosphatase 2 isoform X4 [Antigone vipio],208,211,AMIDATION
>LAH71893.1 glucose-6-phosphatase 2 isoform X4 [Antigone vipio],,,None found
>LAG95922.1 glucose-6-phosphatase 2 isoform X4 [Falco peregrinus],,,None found
>LAG91581.1 glucose-6-phosphatase 2 isoform X5 [Falco peregrinus],,,None found
>LAH18032.1 glucose-6-phosphatase 3 [Falco peregrinus],,,None found
>LAH18039.1 glucose-6-phosphatase 3 [Falco peregrinus],,,None found
>LAI77308.1 glucose-6-phosphatase 2 isoform X5 [Astur gentilis],,,None found
>LAI86684.1 glucose-6-phosphatase 3 [Astur gentilis],,,None found
>KAI6072612.1 Glucose-6-phosphatase [Aix galericulata],139,142,AMIDATION
>KAI6072612.1 Glucose-6-phosphatase [Aix galericulata],,,None found
>KAI6065098.1 Glucose-6-phosphatase 2 isoform X3 [Aix galericulata],,,None found
>XP_048809601.1 glucose-6-phosphatase 2 [Lagopus muta],,,None found
>XP_048783081.1 glucose-6-phosphatase catalytic subunit 1 [Lagopus muta],139,142,AMIDATION
>XP_048783081.1 glucose-6-phosphatase catalytic subunit 1 [Lagopus muta],,,None found
>XP_048164921.1 glucose-6-phosphatase 2 [Corvus hawaiiensis],,,None found
>XP_048175919.1 glucose-6-phosphatase 3 [Corvus hawaiiensis],,,None found
>XP_048172249.1 glucose-6-phosphatase catalytic subunit 1 [Corvus hawaiiensis],191,194,AMIDATION
>XP_048172249.1 glucose-6-phosphatase catalytic subunit 1 [Corvus hawaiiensis],15,18,AMIDATION
>XP_048172249.1 glucose-6-phosphatase catalytic subunit 1 [Corvus hawaiiensis],,,None found
>KAI1230272.1 Glucose-6-phosphatase [Lamprotornis superbus],,,None found
>XP_046777910.1 glucose-6-phosphatase 2 isoform X6 [Gallus gallus],,,None found
>XP_040548341.2 glucose-6-phosphatase catalytic subunit 1 [Gallus gallus],139,142,AMIDATION
>XP_040548341.2 glucose-6-phosphatase catalytic subunit 1 [Gallus gallus],,,None found
>XP_040548340.2 glucose-6-phosphatase catalytic subunit 1 [Gallus gallus],139,142,AMIDATION
>XP_040548340.2 glucose-6-phosphatase catalytic subunit 1 [Gallus gallus],,,None found
>XP_046800043.1 glucose-6-phosphatase 2 isoform X6 [Gallus gallus],,,None found
>XP_004948688.2 glucose-6-phosphatase catalytic subunit 1 [Gallus gallus],139,142,AMIDATION
>XP_004948688.2 glucose-6-phosphatase catalytic subunit 1 [Gallus gallus],,,None found
>XP_003642865.2 glucose-6-phosphatase catalytic subunit 1 [Gallus gallus],139,142,AMIDATION
>XP_003642865.2 glucose-6-phosphatase catalytic subunit 1 [Gallus gallus],,,None found
>XP_040532686.1 glucose-6-phosphatase 2 isoform X5 [Gallus gallus],,,None found
>XP_040532685.1 glucose-6-phosphatase 2 isoform X4 [Gallus gallus],,,None found
>XP_040532684.1 glucose-6-phosphatase 2 isoform X3 [Gallus gallus],,,None found
>XP_040532683.1 glucose-6-phosphatase 2 isoform X2 [Gallus gallus],,,None found
>XP_040532682.1 glucose-6-phosphatase 2 isoform X1 [Gallus gallus],,,None found
>XP_040547890.1 glucose-6-phosphatase 3 [Gallus gallus],,,None found
>XP_040547889.1 glucose-6-phosphatase 3 [Gallus gallus],,,None found
>XP_040560131.1 glucose-6-phosphatase 2 isoform X5 [Gallus gallus],,,None found
>XP_422017.3 glucose-6-phosphatase 2 isoform X2 [Gallus gallus],,,None found
>XP_015128784.2 glucose-6-phosphatase 3 [Gallus gallus],,,None found
>XP_015128783.2 glucose-6-phosphatase 3 [Gallus gallus],,,None found
>XP_004942827.1 glucose-6-phosphatase 2 isoform X4 [Gallus gallus],,,None found
>XP_004942826.1 glucose-6-phosphatase 2 isoform X3 [Gallus gallus],,,None found
>XP_003641696.1 glucose-6-phosphatase 2 isoform X1 [Gallus gallus],,,None found
